title,href,ogg_url
5 Chiptunes (Action),/content/5-chiptunes-action,https://opengameart.org/sites/default/files/audio_preview/level3.mp3.ogg
Crystal Cave (song18),/content/crystal-cave-song18,https://opengameart.org/sites/default/files/audio_preview/song18.mp3.ogg
Ove's Essential Game Audio Pack Collection  (160+ Files) *UPDATED,/content/oves-essential-game-audio-pack-collection-160-files-updated,https://opengameart.org/sites/default/files/audio_preview/Ove%20Melaa%20-%20Heaven%20Sings.mp3.ogg
Battle Theme A,/content/battle-theme-a,https://opengameart.org/sites/default/files/audio_preview/battleThemeA_0.mp3.ogg
Town Theme RPG,/content/town-theme-rpg,https://opengameart.org/sites/default/files/audio_preview/TownTheme_0.mp3.ogg
Free Music Pack,/content/free-music-pack,https://opengameart.org/sites/default/files/montage-music-20130526%40200928.ogg
Menu Music,/content/menu-music,https://opengameart.org/sites/default/files/audio_preview/awesomeness.wav.ogg
The Field Of Dreams,/content/the-field-of-dreams,https://opengameart.org/sites/default/files/audio_preview/the_field_of_dreams.mp3.ogg
"NES Shooter Music (5 tracks, 3 jingles)",/content/nes-shooter-music-5-tracks-3-jingles,https://opengameart.org/sites/default/files/Boss.ogg
Loading screen loop,/content/loading-screen-loop,https://opengameart.org/sites/default/files/audio_preview/b423b42.wav.ogg
Cyberpunk Moonlight Sonata,/content/cyberpunk-moonlight-sonata,https://opengameart.org/sites/default/files/audio_preview/Cyberpunk%20Moonlight%20Sonata%20v2_0.mp3.ogg
Heroic Demise [Updated Version],/content/heroic-demise-updated-version,https://opengameart.org/sites/default/files/audio_preview/Heroic%20Demise%20%28New%29.mp3.ogg
Another space background track,/content/another-space-background-track,https://opengameart.org/sites/default/files/ObservingTheStar.ogg
Soliloquy,/content/soliloquy,https://opengameart.org/sites/default/files/audio_preview/Soliloquy_0.mp3.ogg
Mystical Theme,/content/mystical-theme,https://opengameart.org/sites/default/files/audio_preview/%20%D1%82%D0%B5%D0%BC%D0%B0.mp3.ogg
Creepy Forest (F),/content/creepy-forest-f,https://opengameart.org/sites/default/files/forest.ogg
No More Magic,/content/no-more-magic,https://opengameart.org/sites/default/files/audio_preview/No%20More%20Magic_3.mp3.ogg
4 Chiptunes (Adventure),/content/4-chiptunes-adventure,https://opengameart.org/sites/default/files/Juhani%20Junkala%20%5BChiptune%20Adventures%5D%201.%20Stage%201.ogg
Woodland Fantasy,/content/woodland-fantasy,https://opengameart.org/sites/default/files/audio_preview/Woodland%20Fantasy.mp3.ogg
Cave Theme,/content/cave-theme,https://opengameart.org/sites/default/files/cave%20themeb4.ogg
Caketown - Cute/playful,/content/caketown-cuteplayful,https://opengameart.org/sites/default/files/audio_preview/Caketown%201_0.mp3.ogg
"RPG Battle Theme - ""The Last Encounter""",/content/rpg-battle-theme-the-last-encounter-0,https://opengameart.org/sites/default/files/audio_preview/The%20Last%20Encounter%20%28Original%20Version_0.mp3.ogg
Space Boss Battle Theme,/content/space-boss-battle-theme,https://opengameart.org/sites/default/files/audio_preview/Orbital%20Colossus.mp3.ogg
Path to Lake Land,/content/path-to-lake-land,https://opengameart.org/sites/default/files/Path%20to%20Lake%20Land.ogg
rain and thunders,/content/rain-and-thunders,https://opengameart.org/sites/default/files/Dark_Rainy_Night%28ambience%29_0.ogg
Tragic ambient main menu,/content/tragic-ambient-main-menu,https://opengameart.org/sites/default/files/ambientmain_0.ogg
Bossa Nova,/content/bossa-nova,https://opengameart.org/sites/default/files/audio_preview/8bit%20Bossa.mp3.ogg
Rise of Spirit,/content/rise-of-spirit,https://opengameart.org/sites/default/files/audio_preview/Rise%20of%20spirit.mp3.ogg
Generic 8-bit JRPG Soundtrack,/content/generic-8-bit-jrpg-soundtrack,https://opengameart.org/sites/default/files/montage-music-20120818%40095043.ogg
Winds Of Stories,/content/winds-of-stories,https://opengameart.org/sites/default/files/audio_preview/Winds%20Of%20Stories_1.mp3.ogg
Fast fight / battle music,/content/fast-fight-battle-music,https://opengameart.org/sites/default/files/audio_preview/fight.wav.ogg
Enchanted Tiki 86,/content/enchanted-tiki-86,https://opengameart.org/sites/default/files/audio_preview/enchanted%20tiki%2086.mp3.ogg
Old City Theme,/content/old-city-theme,https://opengameart.org/sites/default/files/old%20city%20theme_4.ogg
Background space track,/content/background-space-track,https://opengameart.org/sites/default/files/MyVeryOwnDeadShip.ogg
Platformer Game Music Pack,/content/platformer-game-music-pack,https://opengameart.org/sites/default/files/audio_preview/Intro%20Theme.mp3.ogg
Happy Arcade Tune,/content/happy-arcade-tune,https://opengameart.org/sites/default/files/audio_preview/happy.mp3.ogg
Mysterious Ambience (song21),/content/mysterious-ambience-song21,https://opengameart.org/sites/default/files/audio_preview/song21.mp3.ogg
Heroic Minority,/content/heroic-minority,https://opengameart.org/sites/default/files/audio_preview/%20%D0%BC%D0%B8%D0%BD%D0%BE%D1%80%D0%BD%D0%B0%D1%8F.mp3.ogg
Soft Mysterious Harp Loop,/content/soft-mysterious-harp-loop,https://opengameart.org/sites/default/files/audio_preview/Harp.mp3.ogg
Dream Raid (Cinematic Action Soundtrack),/content/dream-raid-cinematic-action-soundtrack,https://opengameart.org/sites/default/files/audio_preview/Dream%20Raid%20Full%20Version%20%28Mock%20Up%29.mp3.ogg
Awake! (Megawall-10),/content/awake-megawall-10,https://opengameart.org/sites/default/files/audio_preview/awake10_megaWall_0.mp3.ogg
Next to You,/content/next-to-you,https://opengameart.org/sites/default/files/audio_preview/Next%20to%20You.mp3.ogg
Enchanted Festival,/content/enchanted-festival,https://opengameart.org/sites/default/files/audio_preview/Enchanted%20Festival.mp3.ogg
Dark Ambience Loop,/content/dark-ambience-loop,https://opengameart.org/sites/default/files/Iwan%20Gabovitch%20-%20Dark%20Ambience%20Loop.ogg
Battle in the winter,/content/battle-in-the-winter,https://opengameart.org/sites/default/files/audio_preview/Battle%20in%20the%20winter_0.mp3.ogg
Snowfall,/content/snowfall,https://opengameart.org/sites/default/files/07%20Snowfall_1.ogg
Snowland Town,/content/snowland-town,https://opengameart.org/sites/default/files/audio_preview/Snowland_1.mp3.ogg
The Adventure Begins,/content/adventure-begins,https://opengameart.org/sites/default/files/little%20town%20-%20orchestral.ogg
Boss Battle Music,/content/boss-battle-music,https://opengameart.org/sites/default/files/audio_preview/Juhani%20Junkala%20-%20Epic%20Boss%20Battle%20Preview.mp3.ogg
Space (orchestral),/content/space-orchestral,https://opengameart.org/sites/default/files/audio_preview/space.mp3.ogg
Dark Descent,/content/dark-descent,https://opengameart.org/sites/default/files/audio_preview/Dark%20Descent.mp3.ogg
Hero Immortal,/content/hero-immortal,https://opengameart.org/sites/default/files/audio_preview/Hero%20Immortal.mp3.ogg
Fight Them Until We Can't,/content/fight-them-until-we-cant,https://opengameart.org/sites/default/files/audio_preview/Zander%20Noriega%20-%20Fight%20Them%20Until%20We%20Cant.mp3.ogg
Forest Ambience,/content/forest-ambience,https://opengameart.org/sites/default/files/audio_preview/Forest_Ambience_0.mp3.ogg
Game-Game,/content/game-game,https://opengameart.org/sites/default/files/montage-music-20121015%40194349.ogg
Forgoten tomb ambience,/content/forgoten-tomb-ambience,https://opengameart.org/sites/default/files/audio_preview/Forgoten_tombs_2.mp3.ogg
The Dark Amulet - Dark Mage Theme,/content/the-dark-amulet-dark-mage-theme,https://opengameart.org/sites/default/files/audio_preview/The%20Dark%20Amulet.mp3.ogg
Grassy World Overture (8bit/Orchestral),/content/grassy-world-overture-8bitorchestral,https://opengameart.org/sites/default/files/audio_preview/Grassy%20World%20%288-Bit_Orchestral%20Overture%29%20-%20Main%20Title%20Theme_0.mp3.ogg
Pleasant Creek,/content/pleasant-creek,https://opengameart.org/sites/default/files/audio_preview/Pleasant%20Creek.mp3.ogg
Through Space,/content/through-space,https://opengameart.org/sites/default/files/through%20space.ogg
A Journey Awaits!,/content/a-journey-awaits,https://opengameart.org/sites/default/files/audio_preview/A%20Journey%20Awaits%20%28preview%29.mp3.ogg
Bleeding out,/content/bleeding-out,https://opengameart.org/sites/default/files/bleeding_out2_1.ogg
Medieval: The Old Tower Inn,/content/medieval-the-old-tower-inn,https://opengameart.org/sites/default/files/audio_preview/The_Old_Tower_Inn_1.mp3.ogg
Tower Defense Theme,/content/tower-defense-theme,https://opengameart.org/sites/default/files/audio_preview/DST-TowerDefenseTheme_1.mp3.ogg
"Hungry Dino (9 chiptune tracks, 10 SFX)",/content/hungry-dino-9-chiptune-tracks-10-sfx,https://opengameart.org/sites/default/files/MainTheme.ogg
Orchestral Epic Fantasy Music,/content/orchestral-epic-fantasy-music,https://opengameart.org/sites/default/files/DarkWinds.OGG
The Fall of Arcana (Epic Game Theme Music),/content/the-fall-of-arcana-epic-game-theme-music,https://opengameart.org/sites/default/files/audio_preview/The%20Fall%20of%20Arcana.mp3.ogg
Lines of Code,/content/lines-of-code,https://opengameart.org/sites/default/files/audio_preview/Lines%20of%20Code.mp3.ogg
Space Dimensions (8bit/Retro Version),/content/space-dimensions-8bitretro-version,https://opengameart.org/sites/default/files/audio_preview/n-Dimensions%20%28Main%20Theme%20-%20Retro%20Ver.mp3.ogg
Fast fight / battle music (looped),/content/fast-fight-battle-music-looped,https://opengameart.org/sites/default/files/fight_looped.ogg
Desert theme,/content/desert-theme,https://opengameart.org/sites/default/files/caravan.ogg_0.ogg
Loop - House In a Forest,/content/loop-house-in-a-forest,https://opengameart.org/sites/default/files/audio_preview/House%20In%20A%20Forest%20Loop.mp3.ogg
Colossal Boss Battle Theme,/content/colossal-boss-battle-theme,https://opengameart.org/sites/default/files/audio_preview/Blackmoor%20Colossus.mp3.ogg
Imminent Threat,/content/imminent-threat,https://opengameart.org/sites/default/files/audio_preview/Imminent%20Threat.mp3.ogg
Crystal Cave + Mysterious Ambience (seamless loop),/content/crystal-cave-mysterious-ambience-seamless-loop,https://opengameart.org/sites/default/files/music_jewels.ogg
Dungeon Ambience,/content/dungeon-ambience,https://opengameart.org/sites/default/files/dungeon002.ogg
Breves dies hominis,/content/breves-dies-hominis,https://opengameart.org/sites/default/files/breves_dies_hominis.ogg
Underwater Theme,/content/underwater-theme,https://opengameart.org/sites/default/files/audio_preview/Cleyton%20RX%20-%20Underwater.mp3.ogg
Orchestral Battle Music,/content/orchestral-battle-music,https://opengameart.org/sites/default/files/TheLoomingBattle.OGG
One,/content/one,https://opengameart.org/sites/default/files/audio_preview/one_0.mp3.ogg
High Tech Lab,/content/high-tech-lab,https://opengameart.org/sites/default/files/htl.ogg
Curious Critters,/content/curious-critters,https://opengameart.org/sites/default/files/audio_preview/Curious%20Critters%20%28Extended%20Version%29%201.mp3.ogg
Vampire's Piano,/content/vampires-piano,https://opengameart.org/sites/default/files/audio_preview/vampires_piano_8.mp3.ogg
I swear I saw it - background track,/content/i-swear-i-saw-it-background-track,https://opengameart.org/sites/default/files/IswearIsawit.ogg
Unreleased Game Music Pack,/content/unreleased-game-music-pack,https://opengameart.org/sites/default/files/audio_preview/Cafofo%20-%20MUSIC%20-%20Contemplation%203.mp3.ogg
Old Music,/content/old-music,https://opengameart.org/sites/default/files/audio_preview/%20%28%D0%98%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%8F%29%20%281%29.mp3.ogg
Creepy,/content/creepy,https://opengameart.org/sites/default/files/audio_preview/CrEEP.mp3.ogg
Lively Meadow (Victory Fanfare and Song),/content/lively-meadow-victory-fanfare-and-song,https://opengameart.org/sites/default/files/audio_preview/Lively%20Meadow%20%28Victory%20Fanfare%20and%20Song%29.mp3.ogg
Prologue,/content/prologue,https://opengameart.org/sites/default/files/audio_preview/prologue.mp3.ogg
Medieval,/content/medieval,https://opengameart.org/sites/default/files/medieval.ogg
Thrust Sequence,/content/thrust-sequence,https://opengameart.org/sites/default/files/audio_preview/Thrust%20Sequence.mp3.ogg
Skeleton Waltz Theme,/content/skeleton-waltz-theme,https://opengameart.org/sites/default/files/Bone%20Yard%20Waltz%20-%20Loopable.ogg
Tower of Great Lords,/content/tower-of-great-lords,https://opengameart.org/sites/default/files/Ala%20Flair.ogg
Death Is Just Another Path,/content/death-is-just-another-path,https://opengameart.org/sites/default/files/audio_preview/Death%20Is%20Just%20Another%20Path.mp3.ogg
forest,/content/forest,https://opengameart.org/sites/default/files/audio_preview/forest.mp3.ogg
Raining Bits,/content/raining-bits,https://opengameart.org/sites/default/files/Raining%20Bits_0.ogg
8-bit Music Pack (Loopable),/content/8-bit-music-pack-loopable,https://opengameart.org/sites/default/files/audio_preview/bgm_action_1_0.mp3.ogg
Factory ambiance,/content/factory-ambiance,https://opengameart.org/sites/default/files/Factory_0.ogg
Perpetual Tension,/content/perpetual-tension,https://opengameart.org/sites/default/files/audio_preview/Zander%20Noriega%20-%20Perpetual%20Tension.mp3.ogg
Zombies' March,/content/zombies-march,https://opengameart.org/sites/default/files/ZombiesAreComing_0.ogg
Caves of Sorrow,/content/caves-of-sorrow,https://opengameart.org/sites/default/files/Caves%20of%20sorrow.ogg
calm bgm,/content/calm-bgm,https://opengameart.org/sites/default/files/041415calmbgm.ogg
Boss Battle #2 [Symphonic Metal],/content/boss-battle-2-symphonic-metal,https://opengameart.org/sites/default/files/audio_preview/boss_battle_%232_metal_preview.mp3.ogg
JRPG Pack 1 Exploration,/content/jrpg-pack-1-exploration,https://opengameart.org/sites/default/files/Grasslands.ogg
Lurid Delusion,/content/lurid-delusion,https://opengameart.org/sites/default/files/audio_preview/Lurid%20Delusion.mp3.ogg
Happy Lullaby (song17),/content/happy-lullaby-song17,https://opengameart.org/sites/default/files/audio_preview/song17_0.mp3.ogg
Desolate,/content/desolate,https://opengameart.org/sites/default/files/audio_preview/Desolate%20Part%20II.mp3.ogg
Blackmoor Tides (Epic Pirate Battle Theme),/content/blackmoor-tides-epic-pirate-battle-theme,https://opengameart.org/sites/default/files/audio_preview/Blackmoor%20Tides.mp3.ogg
Insistent: background loop,/content/insistent-background-loop,https://opengameart.org/sites/default/files/Insistent_0.ogg
Music loop variations,/content/music-loop-variations,https://opengameart.org/sites/default/files/loops-demo.ogg
Undead Rising,/content/undead-rising,https://opengameart.org/sites/default/files/audio_preview/Undead%20Rising.mp3.ogg
Chill lofi inspired,/content/chill-lofi-inspired,https://opengameart.org/sites/default/files/audio_preview/ChillLofiR.mp3.ogg
Loop: Lonely Witch,/content/loop-lonely-witch,https://opengameart.org/sites/default/files/audio_preview/Lonely%20Witch_1.mp3.ogg
ArcLight - Epic Orchestral/Rock Soundtrack,/content/arclight-epic-orchestralrock-soundtrack,https://opengameart.org/sites/default/files/audio_preview/ArcLight%20%28192%20Kbps%29_0.mp3.ogg
Fantasy Choir-3 orchestral pieces,/content/fantasy-choir-3-orchestral-pieces,https://opengameart.org/sites/default/files/audio_preview/Fantasy%20Choir%201.mp3.ogg
Mythica,/content/mythica,https://opengameart.org/sites/default/files/audio_preview/mythica.mp3.ogg
happy tune,/content/happy-tune,https://opengameart.org/sites/default/files/audio_preview/021914bgm2%28happytune%29.mp3.ogg
Mushroom Dance,/content/mushroom-dance,https://opengameart.org/sites/default/files/mushroom%20dance_0.ogg
"""Prepare your swords""",/content/prepare-your-swords,https://opengameart.org/sites/default/files/prepare_your_swords.ogg
Red Curtain,/content/red-curtain,https://opengameart.org/sites/default/files/Red%20Curtain%20Preview.ogg
Night Prowler,/content/night-prowler,https://opengameart.org/sites/default/files/S31-Night%20Prowler_0.ogg
You Were My Brother (Live Orchestra),/content/you-were-my-brother-live-orchestra,https://opengameart.org/sites/default/files/audio_preview/Tropic%20Strike%20-%201M2%20-%20_You%20Were%20My%20Brother_.mp3.ogg
